t,particle,x,y,vx,vy,speed
0.0,1,0.25,0.25,0.8821541643723761,0.7870381731721239,1.182211933516846
0.0,2,0.75,0.75,0.9143259784931885,0.9784822404246067,1.3391861296227214
0.0,3,0.25,0.75,0.5867437904926885,0.957633978702004,1.1230899843050681
0.0,4,0.75,0.25,0.14740220593130127,0.4265482053648406,0.45129899380940347
0.02,1,0.2676430832874475,0.2657407634634425,0.8821541643723761,0.7870381731721239,1.182211933516846
0.02,2,0.7682865195698638,0.7695696448084921,0.9143259784931885,0.9784822404246067,1.3391861296227214
0.02,3,0.2617348758098538,0.7691526795740401,0.5867437904926885,0.957633978702004,1.1230899843050681
0.02,4,0.752948044118626,0.2585309641072968,0.14740220593130127,0.4265482053648406,0.45129899380940347
0.04,1,0.28528616657489503,0.281481526926885,0.8821541643723761,0.7870381731721239,1.182211933516846
0.04,2,0.7865730391397276,0.7891392896169842,0.9143259784931885,0.9784822404246067,1.3391861296227214
0.04,3,0.27346975161970755,0.7883053591480802,0.5867437904926885,0.957633978702004,1.1230899843050681
0.04,4,0.7558960882372521,0.2670619282145936,0.14740220593130127,0.4265482053648406,0.45129899380940347
0.06,1,0.30292924986234254,0.2972222903903275,0.8821541643723761,0.7870381731721239,1.182211933516846
0.06,2,0.8048595587095915,0.8087089344254763,0.9143259784931885,0.9784822404246067,1.3391861296227214
0.06,3,0.2852046274295613,0.8074580387221203,0.5867437904926885,0.957633978702004,1.1230899843050681
0.06,4,0.7588441323558781,0.27559289232189044,0.14740220593130127,0.4265482053648406,0.45129899380940347
0.08,1,0.32057233314979006,0.31296305385377,0.8821541643723761,0.7870381731721239,1.182211933516846
0.08,2,0.8231460782794553,0.8282785792339684,0.9143259784931885,0.9784822404246067,1.3391861296227214
0.08,3,0.2969395032394151,0.8266107182961604,0.5867437904926885,0.957633978702004,1.1230899843050681
0.08,4,0.7617921764745041,0.28412385642918725,0.14740220593130127,0.4265482053648406,0.45129899380940347
0.1,1,0.33821541643723757,0.3287038173172125,0.8821541643723761,0.7870381731721239,1.182211933516846
0.1,2,0.8414325978493191,0.8478482240424605,0.9143259784931885,0.9784822404246067,1.3391861296227214
0.1,3,0.30867437904926887,0.8457633978702005,0.5867437904926885,0.957633978702004,1.1230899843050681
0.1,4,0.7647402205931302,0.29265482053648406,0.14740220593130127,0.4265482053648406,0.45129899380940347
0.12000000000000001,1,0.3558584997246851,0.344444580780655,0.8821541643723761,0.7870381731721239,1.182211933516846
0.12000000000000001,2,0.8597191174191829,0.8674178688509526,0.9143259784931885,0.9784822404246067,1.3391861296227214
0.12000000000000001,3,0.32040925485912264,0.8649160774442406,0.5867437904926885,0.957633978702004,1.1230899843050681
0.12000000000000001,4,0.7676882647117562,0.3011857846437809,0.14740220593130127,0.4265482053648406,0.45129899380940347
0.14,1,0.3735015830121326,0.3601853442440975,0.8821541643723761,0.7870381731721239,1.182211933516846
0.14,2,0.8780056369890468,0.8869875136594447,0.9143259784931885,0.9784822404246067,1.3391861296227214
0.14,3,0.3321441306689764,0.8840687570182807,0.5867437904926885,0.957633978702004,1.1230899843050681
0.14,4,0.7706363088303823,0.3097167487510777,0.14740220593130127,0.4265482053648406,0.45129899380940347
0.16,1,0.3911446662995801,0.37592610770754,0.8821541643723761,0.7870381731721239,1.182211933516846
0.16,2,0.8962921565589106,0.9065571584679368,0.9143259784931885,-0.9784822404246067,1.3391861296227214
0.16,3,0.3438790064788302,0.9032214365923208,0.5867437904926885,-0.957633978702004,1.1230899843050681
0.16,4,0.7735843529490083,0.3182477128583745,0.14740220593130127,0.4265482053648406,0.45129899380940347
0.18,1,0.4087877495870276,0.3916668711709825,0.8821541643723761,0.7870381731721239,1.182211933516846
0.18,2,0.9145786761287744,0.8869875136594447,-0.9143259784931885,-0.9784822404246067,1.3391861296227214
0.18,3,0.35561388228868396,0.8840687570182807,0.5867437904926885,-0.957633978702004,1.1230899843050681
0.18,4,0.7765323970676343,0.3267786769656713,0.14740220593130127,0.4265482053648406,0.45129899380940347
0.19999999999999998,1,0.42643083287447514,0.407407634634425,0.8821541643723761,0.7870381731721239,1.182211933516846
0.19999999999999998,2,0.8962921565589106,0.8674178688509526,-0.9143259784931885,-0.9784822404246067,1.3391861296227214
0.19999999999999998,3,0.36734875809853773,0.8649160774442406,0.5867437904926885,-0.957633978702004,1.1230899843050681
0.19999999999999998,4,0.7794804411862604,0.3353096410729681,0.14740220593130127,0.4265482053648406,0.45129899380940347
0.21999999999999997,1,0.44407391616192265,0.4231483980978675,0.8821541643723761,0.7870381731721239,1.182211933516846
0.21999999999999997,2,0.8780056369890468,0.8478482240424605,-0.9143259784931885,-0.9784822404246067,1.3391861296227214
0.21999999999999997,3,0.3790836339083915,0.8457633978702005,0.5867437904926885,-0.957633978702004,1.1230899843050681
0.21999999999999997,4,0.7824284853048864,0.34384060518026494,0.14740220593130127,0.4265482053648406,0.45129899380940347
0.23999999999999996,1,0.46171699944937017,0.43888916156130997,0.8821541643723761,0.7870381731721239,1.182211933516846
0.23999999999999996,2,0.8597191174191829,0.8282785792339684,-0.9143259784931885,-0.9784822404246067,1.3391861296227214
0.23999999999999996,3,0.3908185097182453,0.8266107182961604,0.5867437904926885,-0.957633978702004,1.1230899843050681
0.23999999999999996,4,0.7853765294235124,0.35237156928756175,0.14740220593130127,0.4265482053648406,0.45129899380940347
0.25999999999999995,1,0.4793600827368177,0.45462992502475247,0.8821541643723761,0.7870381731721239,1.182211933516846
0.25999999999999995,2,0.8414325978493191,0.8087089344254763,-0.9143259784931885,-0.9784822404246067,1.3391861296227214
0.25999999999999995,3,0.40255338552809905,0.8074580387221203,0.5867437904926885,-0.957633978702004,1.1230899843050681
0.25999999999999995,4,0.7883245735421385,0.36090253339485856,0.14740220593130127,0.4265482053648406,0.45129899380940347
0.27999999999999997,1,0.4970031660242652,0.47037068848819497,0.8821541643723761,0.7870381731721239,1.182211933516846
0.27999999999999997,2,0.8231460782794553,0.7891392896169842,-0.9143259784931885,-0.9784822404246067,1.3391861296227214
0.27999999999999997,3,0.4142882613379528,0.7883053591480802,0.5867437904926885,-0.957633978702004,1.1230899843050681
0.27999999999999997,4,0.7912726176607645,0.3694334975021554,0.14740220593130127,0.4265482053648406,0.45129899380940347
0.3,1,0.5146462493117128,0.48611145195163746,0.8821541643723761,0.7870381731721239,1.182211933516846
0.3,2,0.8048595587095915,0.7695696448084921,-0.9143259784931885,-0.9784822404246067,1.3391861296227214
0.3,3,0.4260231371478066,0.7691526795740401,0.5867437904926885,-0.957633978702004,1.1230899843050681
0.3,4,0.7942206617793905,0.3779644616094522,0.14740220593130127,0.4265482053648406,0.45129899380940347
0.32,1,0.5322893325991603,0.50185221541508,0.8821541643723761,0.7870381731721239,1.182211933516846
0.32,2,0.7865730391397276,0.75,-0.9143259784931885,-0.9784822404246067,1.3391861296227214
0.32,3,0.43775801295766037,0.75,0.5867437904926885,-0.957633978702004,1.1230899843050681
0.32,4,0.7971687058980166,0.386495425716749,0.14740220593130127,0.4265482053648406,0.45129899380940347
0.34,1,0.5499324158866079,0.5175929788785224,0.8821541643723761,0.7870381731721239,1.182211933516846
0.34,2,0.7682865195698638,0.7304303551915079,-0.9143259784931885,-0.9784822404246067,1.3391861296227214
0.34,3,0.44949288876751414,0.7308473204259599,0.5867437904926885,-0.957633978702004,1.1230899843050681
0.34,4,0.8001167500166426,0.3950263898240458,0.14740220593130127,0.4265482053648406,0.45129899380940347
0.36000000000000004,1,0.5675754991740555,0.5333337423419648,0.8821541643723761,0.7870381731721239,1.182211933516846
0.36000000000000004,2,0.75,0.7108607103830158,-0.9143259784931885,-0.9784822404246067,1.3391861296227214
0.36000000000000004,3,0.4612277645773679,0.7116946408519198,0.5867437904926885,-0.957633978702004,1.1230899843050681
0.36000000000000004,4,0.8030647941352687,0.4035573539313426,0.14740220593130127,0.4265482053648406,0.45129899380940347
0.38000000000000006,1,0.585218582461503,0.5490745058054073,1.616702915689783,-0.15174367057434157,1.6238086276280281
0.38000000000000006,2,0.7317134804301362,0.6912910655745237,-0.9143259784931885,-0.9784822404246067,1.3391861296227214
0.38000000000000006,3,0.4729626403872217,0.6925419612778797,-0.14780496082471828,-0.018852134955538502,0.14900238064131172
0.38000000000000006,4,0.8060128382538947,0.41208831803863943,0.14740220593130127,0.4265482053648406,0.45129899380940347
